scorer,DLC_resnet50_L8FVJul4shuffle1_100000,DLC_resnet50_L8FVJul4shuffle1_100000,DLC_resnet50_L8FVJul4shuffle1_100000,DLC_resnet50_L8FVJul4shuffle1_100000,DLC_resnet50_L8FVJul4shuffle1_100000,DLC_resnet50_L8FVJul4shuffle1_100000,DLC_resnet50_L8FVJul4shuffle1_100000,DLC_resnet50_L8FVJul4shuffle1_100000,DLC_resnet50_L8FVJul4shuffle1_100000,DLC_resnet50_L8FVJul4shuffle1_100000,DLC_resnet50_L8FVJul4shuffle1_100000,DLC_resnet50_L8FVJul4shuffle1_100000,DLC_resnet50_L8FVJul4shuffle1_100000,DLC_resnet50_L8FVJul4shuffle1_100000,DLC_resnet50_L8FVJul4shuffle1_100000,DLC_resnet50_L8FVJul4shuffle1_100000,DLC_resnet50_L8FVJul4shuffle1_100000,DLC_resnet50_L8FVJul4shuffle1_100000,DLC_resnet50_L8FVJul4shuffle1_100000,DLC_resnet50_L8FVJul4shuffle1_100000,DLC_resnet50_L8FVJul4shuffle1_100000,DLC_resnet50_L8FVJul4shuffle1_100000,DLC_resnet50_L8FVJul4shuffle1_100000,DLC_resnet50_L8FVJul4shuffle1_100000,DLC_resnet50_L8FVJul4shuffle1_100000,DLC_resnet50_L8FVJul4shuffle1_100000,DLC_resnet50_L8FVJul4shuffle1_100000,DLC_resnet50_L8FVJul4shuffle1_100000,DLC_resnet50_L8FVJul4shuffle1_100000,DLC_resnet50_L8FVJul4shuffle1_100000,DLC_resnet50_L8FVJul4shuffle1_100000,DLC_resnet50_L8FVJul4shuffle1_100000,DLC_resnet50_L8FVJul4shuffle1_100000,DLC_resnet50_L8FVJul4shuffle1_100000,DLC_resnet50_L8FVJul4shuffle1_100000,DLC_resnet50_L8FVJul4shuffle1_100000,DLC_resnet50_L8FVJul4shuffle1_100000,DLC_resnet50_L8FVJul4shuffle1_100000,DLC_resnet50_L8FVJul4shuffle1_100000,DLC_resnet50_L8FVJul4shuffle1_100000,DLC_resnet50_L8FVJul4shuffle1_100000,DLC_resnet50_L8FVJul4shuffle1_100000,DLC_resnet50_L8FVJul4shuffle1_100000,DLC_resnet50_L8FVJul4shuffle1_100000,DLC_resnet50_L8FVJul4shuffle1_100000,DLC_resnet50_L8FVJul4shuffle1_100000,DLC_resnet50_L8FVJul4shuffle1_100000,DLC_resnet50_L8FVJul4shuffle1_100000,DLC_resnet50_L8FVJul4shuffle1_100000,DLC_resnet50_L8FVJul4shuffle1_100000,DLC_resnet50_L8FVJul4shuffle1_100000,DLC_resnet50_L8FVJul4shuffle1_100000,DLC_resnet50_L8FVJul4shuffle1_100000,DLC_resnet50_L8FVJul4shuffle1_100000,DLC_resnet50_L8FVJul4shuffle1_100000,DLC_resnet50_L8FVJul4shuffle1_100000,DLC_resnet50_L8FVJul4shuffle1_100000,DLC_resnet50_L8FVJul4shuffle1_100000,DLC_resnet50_L8FVJul4shuffle1_100000,DLC_resnet50_L8FVJul4shuffle1_100000,DLC_resnet50_L8FVJul4shuffle1_100000,DLC_resnet50_L8FVJul4shuffle1_100000,DLC_resnet50_L8FVJul4shuffle1_100000,DLC_resnet50_L8FVJul4shuffle1_100000,DLC_resnet50_L8FVJul4shuffle1_100000,DLC_resnet50_L8FVJul4shuffle1_100000,DLC_resnet50_L8FVJul4shuffle1_100000,DLC_resnet50_L8FVJul4shuffle1_100000,DLC_resnet50_L8FVJul4shuffle1_100000,DLC_resnet50_L8FVJul4shuffle1_100000,DLC_resnet50_L8FVJul4shuffle1_100000,DLC_resnet50_L8FVJul4shuffle1_100000,DLC_resnet50_L8FVJul4shuffle1_100000,DLC_resnet50_L8FVJul4shuffle1_100000,DLC_resnet50_L8FVJul4shuffle1_100000,DLC_resnet50_L8FVJul4shuffle1_100000,DLC_resnet50_L8FVJul4shuffle1_100000,DLC_resnet50_L8FVJul4shuffle1_100000,DLC_resnet50_L8FVJul4shuffle1_100000,DLC_resnet50_L8FVJul4shuffle1_100000,DLC_resnet50_L8FVJul4shuffle1_100000,DLC_resnet50_L8FVJul4shuffle1_100000,DLC_resnet50_L8FVJul4shuffle1_100000,DLC_resnet50_L8FVJul4shuffle1_100000,DLC_resnet50_L8FVJul4shuffle1_100000,DLC_resnet50_L8FVJul4shuffle1_100000,DLC_resnet50_L8FVJul4shuffle1_100000,DLC_resnet50_L8FVJul4shuffle1_100000,DLC_resnet50_L8FVJul4shuffle1_100000,DLC_resnet50_L8FVJul4shuffle1_100000,DLC_resnet50_L8FVJul4shuffle1_100000,DLC_resnet50_L8FVJul4shuffle1_100000,DLC_resnet50_L8FVJul4shuffle1_100000,DLC_resnet50_L8FVJul4shuffle1_100000,DLC_resnet50_L8FVJul4shuffle1_100000,DLC_resnet50_L8FVJul4shuffle1_100000
individuals,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual2,individual2,individual2,individual2,individual2,individual2,individual2,individual2,individual2,individual2,individual2,individual2,individual3,individual3,individual3,individual3,individual3,individual3,individual3,individual3,individual3,individual3,individual3,individual3,individual4,individual4,individual4,individual4,individual4,individual4,individual4,individual4,individual4,individual4,individual4,individual4,individual5,individual5,individual5,individual5,individual5,individual5,individual5,individual5,individual5,individual5,individual5,individual5,individual6,individual6,individual6,individual6,individual6,individual6,individual6,individual6,individual6,individual6,individual6,individual6,individual7,individual7,individual7,individual7,individual7,individual7,individual7,individual7,individual7,individual7,individual7,individual7,individual8,individual8,individual8,individual8,individual8,individual8,individual8,individual8,individual8,individual8,individual8,individual8
bodyparts,head,head,head,tailbase,tailbase,tailbase,midline2,midline2,midline2,tailtip,tailtip,tailtip,head,head,head,tailbase,tailbase,tailbase,midline2,midline2,midline2,tailtip,tailtip,tailtip,head,head,head,tailbase,tailbase,tailbase,midline2,midline2,midline2,tailtip,tailtip,tailtip,head,head,head,tailbase,tailbase,tailbase,midline2,midline2,midline2,tailtip,tailtip,tailtip,head,head,head,tailbase,tailbase,tailbase,midline2,midline2,midline2,tailtip,tailtip,tailtip,head,head,head,tailbase,tailbase,tailbase,midline2,midline2,midline2,tailtip,tailtip,tailtip,head,head,head,tailbase,tailbase,tailbase,midline2,midline2,midline2,tailtip,tailtip,tailtip,head,head,head,tailbase,tailbase,tailbase,midline2,midline2,midline2,tailtip,tailtip,tailtip
coords,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood
0,888.8012634,522.4185416,0.001,1084.304182,524.4416909,0.001,939.1041991,516.196758,0.001,984.7800457,520.0019951,0.001,875.7905222,698.0460614,0.001,999.2399238,558.8656288,0.001,940.5168209,635.8227023,0.001,1006.205132,508.0658592,0.001,902.9308881,371.7251798,0.001,1116.366991,415.7628571,0.001,1001.682883,394.296667,0.001,1160.684318,416.5284888,0.001,1130.778078,498.5819333,0.001,1276.392167,452.9942399,0.001,1198.321363,461.0468309,0.001,1303.918142,470.1453947,0.001,847.2348638,433.9444442,0.001,1039.758482,443.6701578,0.001,940.2603924,421.4934107,0.001,1086.678404,448.3491507,0.001,670.4710158,501.4360309,0.001,845.3011233,541.7688086,0.001,762.1728959,510.4006616,0.001,890.0941087,543.3840187,0.001,942.3999759,588.6700433,0.001,1116.529621,603.6504434,0.001,1032.738562,594.3888093,0.001,1156.257907,592.7607298,0.001,815.0936048,217.9184614,0.001,1033.472245,207.2469298,0.001,927.3100889,212.3273337,0.001,1080.796584,198.8655524,0.001
1,888.8012634,524.0722802,0.001,1084.304182,524.4416909,0.001,987.6366448,518.3231702,0.001,1129.427324,532.2101532,0.001,875.9199284,700.1613684,0.001,999.4631064,565.8820423,0.001,943.5242345,636.3949215,0.001,1013.38751,512.1285889,0.001,904.5119071,371.7251798,0.001,1116.38636,419.5937743,0.001,1001.682883,394.4501283,0.001,1161.693534,416.5284888,0.001,1131.106767,498.660298,0.001,1277.422447,452.9942399,0.001,1198.51227,461.2636771,0.001,1305.322088,470.1453947,0.001,849.0399056,439.4683254,0.001,1039.893582,443.6701578,0.001,941.1574264,421.9626494,0.001,1086.678404,456.8919287,0.001,670.7642074,512.7610124,0.001,845.3011233,542.7123631,0.001,762.1728959,510.4006616,0.001,890.0941087,546.81129,0.001,942.7209876,588.6700433,0.001,1117.221804,603.6504434,0.001,1033.845808,595.5342309,0.001,1156.963684,592.8320232,0.001,818.3498396,218.7496271,0.001,1033.472245,207.7079975,0.001,927.3100889,212.3273337,0.001,1082.650932,198.8655524,0.001
2,888.8012634,526.0800529,0.001,1084.304182,524.4416909,0.001,988.9296742,518.8858126,0.001,1129.449327,534.7771377,0.001,876.4858977,703.1478883,0.001,1002.206531,568.2194692,0.001,945.6293081,636.7875932,0.001,1025.556242,533.2910245,0.001,905.8026567,371.7251798,0.001,1117.276073,420.7046359,0.001,1001.682883,394.8424261,0.001,1161.748945,416.5284888,0.001,1131.392246,499.0448107,0.001,1277.968812,452.9942399,0.001,1198.866931,461.5886717,0.001,1307.176705,470.1453947,0.001,850.3553477,444.7479981,0.001,1040.445883,443.6701578,0.001,941.4887104,422.0903922,0.001,1086.678404,462.9082794,0.001,671.0169476,522.3812498,0.001,845.3011233,542.7123631,0.001,762.1728959,510.4006616,0.001,890.0941087,547.5665088,0.001,943.0364453,588.6700433,0.001,1117.579289,603.8523621,0.001,1034.707495,595.5342309,0.001,1157.499157,594.7416681,0.001,821.2163775,220.0659538,0.001,1033.472245,207.8183219,0.001,927.3100889,212.3273337,0.001,1082.650932,198.8655524,0.001
3,888.8012634,526.0800529,0.001,1084.304182,524.3070259,0.001,987.6366448,519.224239,0.001,1129.427324,541.8256265,0.001,875.9199284,706.1405311,0.001,1002.994838,568.2194692,0.001,947.1013986,638.252515,0.001,1029.093537,533.2918918,0.001,906.8275044,369.9793041,0.001,1117.276073,420.7046359,0.001,1001.682883,395.6741472,0.001,1161.748945,414.4189429,0.001,1131.643728,499.0448107,0.001,1277.968812,452.1657939,0.001,1198.866931,462.0277191,0.001,1309.274967,466.0986302,0.001,851.2546003,449.51915,0.001,1040.445883,443.0082415,0.001,941.7228516,422.0903922,0.001,1083.247642,465.8361479,0.001,671.232305,530.4805126,0.001,844.4440362,542.7123631,0.001,758.4482345,507.4300035,0.001,887.9788013,555.452246,0.001,943.3475201,587.8464443,0.001,1117.579289,603.8523621,0.001,1035.333647,595.5342309,0.001,1157.892373,594.7416681,0.001,823.710907,221.9066943,0.001,1031.690102,209.7475171,0.001,925.8500638,211.3776991,0.001,1082.650932,198.8655524,0.001
4,888.8012634,526.0800529,0.001,1084.494691,521.6074982,0.001,988.9296742,520.6422987,0.001,1123.697122,541.8256265,0.001,875.9199284,706.7918267,0.001,1006.674129,568.2194692,0.001,948.2098631,641.1437469,0.001,1042.446727,533.4648294,0.001,907.6108172,368.845789,0.001,1117.169662,421.1437333,0.001,1002.103451,395.8763449,0.001,1161.693534,413.3700875,0.001,1131.870426,499.93561,0.001,1277.968812,451.9602538,0.001,1199.294745,462.586724,0.001,1311.409848,458.8177661,0.001,851.8110734,453.517469,0.001,1041.268219,438.228305,0.001,941.4887104,423.3788267,0.001,1077.915634,465.8361479,0.001,671.413348,537.2425701,0.001,844.4178884,537.1655322,0.001,756.6457623,505.0323345,0.001,882.1361202,557.452007,0.001,943.6553832,587.1440572,0.001,1117.579289,603.8523621,0.001,1035.734286,594.3604826,0.001,1158.171376,594.7416681,0.001,825.8511163,226.7369062,0.001,1029.499179,213.3598587,0.001,924.5528901,210.1851792,0.001,1080.654702,198.8655524,0.001
5,889.0773924,524.7296521,0.001,1084.910552,519.2291607,0.001,990.0750478,520.6422987,0.001,1125.347671,541.8256265,0.001,875.2084671,706.7918267,0.001,1006.674129,567.1503361,0.001,949.2240584,644.8168814,0.001,1042.446727,534.412983,0.001,908.1769624,368.2276999,0.001,1116.955763,421.2722296,0.001,1002.103451,395.8763449,0.001,1161.338654,413.3700875,0.001,1132.081553,501.1410112,0.001,1277.688273,451.6692209,0.001,1200.52388,463.2715908,0.001,1313.374323,451.2825338,0.001,852.0981769,456.4786427,0.001,1040.445883,430.581216,0.001,941.1574264,424.9839475,0.001,1076.000189,465.8361479,0.001,671.5631451,542.8511919,0.001,844.4158703,530.2262067,0.001,756.0175667,503.5729606,0.001,875.5814052,557.452007,0.001,943.9612057,586.5511208,0.001,1117.390757,604.2251618,0.001,1035.734286,593.1687953,0.001,1158.364212,597.9436182,0.001,827.6546938,232.6053346,0.001,1028.248799,218.4825525,0.001,923.4361425,208.9414534,0.001,1080.629257,203.2109474,0.001
6,890.8180591,520.692511,0.001,1085.165674,514.815184,0.001,990.0750478,521.1677189,0.001,1125.347671,536.8276641,0.001,871.8835041,706.7918267,0.001,1006.674129,567.1503361,0.001,952.0684114,644.95538,0.001,1042.446727,536.2369799,0.001,908.5503072,368.2276999,0.001,1116.955763,424.5414542,0.001,1008.917449,395.8763449,0.001,1160.342,413.3700875,0.001,1132.286323,502.5476943,0.001,1277.282835,450.7466852,0.001,1202.054767,464.0882242,0.001,1314.98706,446.7412151,0.001,852.0981769,458.2251498,0.001,1038.561059,421.6634984,0.001,940.2370371,426.5657911,0.001,1075.412511,459.7870794,0.001,671.6847649,547.4901474,0.001,844.3009818,523.5859763,0.001,755.1978082,503.5729606,0.001,873.7653644,557.452007,0.001,944.2661589,586.0558741,0.001,1117.156649,604.5885231,0.001,1035.734286,592.3191887,0.001,1158.498928,601.903861,0.001,829.1393278,238.9483639,0.001,1028.155829,222.3452497,0.001,922.5173959,207.8169932,0.001,1080.510538,213.2747246,0.001
